source,subsource,name,desc,lat,lon
niekonaujo,Lietuva,Girelės sentikių cerkvė,Būklė: nenaudojama http://www.niekonaujo.lt/20181222/beveik-seniausia-sentikiu-cerkve ,55.4328028,24.8816867
niekonaujo,Lietuva,Artilerijos baterija Memel-Nord," Būklė: dvi pozicijos pritaikytos muziejui, dvi apleistos, iš dalies susprogdintos nuoroda1 (http://www.niekonaujo.lt/20110623/memel-nord), nuoroda2 (http://www.niekonaujo.lt/20110920/flak-40-vamzdis) ",55.777807,21.073832
niekonaujo,Lietuva,Baisogalos dvaras, nuoroda (http://www.niekonaujo.lt/20111103/baisogalos-dvaras)  ,55.636523,23.716929
niekonaujo,Lietuva,Bartkuškio dvaras,Būklė: rekonstruojamas nuoroda (http://www.niekonaujo.lt/20110826/bartkuskio-dvaras)  ,54.9414882,24.9349524
niekonaujo,Lietuva,Kopūstėliai. Antžeminė raketų bazė," Būklė: apleista, nuniokota vandalų nuoroda (http://www.niekonaujo.lt/20111216/kopusteliai) ",55.184111,24.706793
niekonaujo,Lietuva,Karo belaisvių stovykla Oflager 53, nuoroda (http://www.niekonaujo.lt/20110917/oflager-53) ,55.13705800000001,21.881279
niekonaujo,Lietuva,Verkių dvaro vandens kėlimo stotis,Būklė: rekonstruota http://www.niekonaujo.lt/20110502/verkiu-dvaro-vandens-kelimo-stotis ,54.747249,25.289859
niekonaujo,Lietuva,Ventės ragas, nuoroda (http://www.niekonaujo.lt/20120508/ventes-ragas) ,55.340696,21.189805
niekonaujo,Lietuva,Ariogalos (Čekuvos) dvaro rūmai," Būklė: apleisti, avarinės būklės nuoroda (http://www.niekonaujo.lt/20110507/cekuvos-dvaro-rumai) ",55.26304600000001,23.506311
niekonaujo,Lietuva,Geležinkelio tiltas per Ventos upę, Būklė: apleistas nuoroda (http://www.niekonaujo.lt/20110415/gelezinkelio-tiltas-per-ventos-upe) ,56.33926000000001,22.237959
niekonaujo,Lietuva,Traukinys. Tremtiniams atminti., nuoroda (http://www.niekonaujo.lt/20110312/traukinys-tremtiniams-atminti) ,54.693411,25.409953
niekonaujo,Lietuva,Abromiškių dvaras, Būklė: dvaras sparčiai restauruojamas (http://www.abromiskiudvaras.lt/) nuoroda (http://www.niekonaujo.lt/20110306/nykstantis-abromiskiu-dvaras) ,54.779284,24.713895
niekonaujo,Lietuva,Angirių tvenkinio užtvanka, nuoroda (http://www.niekonaujo.lt/20110218/angiriu-tvenkinio-uztvanka-saltis-daro-stebuklus) ,55.281645,23.743408
niekonaujo,Lietuva,Seredžius. Tiltas per Dubysą," Būklė: išlikusios tilto atramos, keliukas iki tilto nuoroda (http://www.niekonaujo.lt/20110204/pamirstas-tiltas-per-dubysa) ",55.080756,23.427814
niekonaujo,Lietuva,Tauragė. Antžeminė raketų bazė," Būklė: dauguma pastatų, garažų nugriauti, išlikę angarai, ryšininkų bunkeris nuoroda (http://www.niekonaujo.lt/20110129/radioaktyviojo-spinduliavimo-matavimas)  ",55.155483,22.345784
niekonaujo,Lietuva, Požeminių amunicijos sandėlių kompleksas Šnipiškėse," Būklė: apleistas, daug šiukšlių, tarp jų ir kenksmingų nuoroda (http://www.niekonaujo.lt/20110121/pozeminiu-amunicijos-sandeliu-kompleksas-snipiskese) ",54.706158,25.266162
